User,Mentions,,,Conative,User
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('majority', 'supreme')",risetv.global
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('supreme', 'courts')",risetv.global
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('courts', 'judges')",risetv.global
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('judges', 'ruled')",risetv.global
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('ruled', 'government')",risetv.global
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('government', 'must')",risetv.global
regisviana2022," 'jairmessiasbolsonaro', 'luvadepedreiro' ",,,"('must', 'revive')",risetv.global
regisviana2022," 'lulaoficial', 'luvadepedreiro' ",,,"('revive', 'amazon')",risetv.global
regisviana2022," 'congressoemfoco', 'lulaoficial' ",,,"('amazon', 'fund')",risetv.global
regisviana2022," 'beirarioconfortooficial', 'congressoemfoco' ",,,"('fund', 'halted')",risetv.global
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('halted', 'president')",risetv.global
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('president', 'jair')",risetv.global
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('jair', 'bolsonaros')",risetv.global
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('bolsonaros', 'administration')",risetv.global
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('administration', 'chose')",risetv.global
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('chose', 'reform')",risetv.global
silviolimaj," 'allandossantos17', 'allansantosvoltou' ",,,"('reform', 'governance')",risetv.global
silviolimaj," 'allandossantos17', 'iamkarinamichelin' ",,,"('governance', 'structure')",risetv.global
silviolimaj," 'gayscombolsonaro', 'iamkarinamichelin' ",,,"('get', 'punished')",salty_geopolitical_memes
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('punished', 'ass')",salty_geopolitical_memes
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('northeastern', 'vote')",giganteheroico
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('vote', 'exconvict')",giganteheroico
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('exconvict', 'giantheroic')",giganteheroico
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('giantheroic', 'conservative')",giganteheroico
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('accepts', 'evil')",wellingtonmedeoli
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('evil', 'without')",wellingtonmedeoli
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('without', 'protesting')",wellingtonmedeoli
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('protesting', 'cooperates')",wellingtonmedeoli
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('cooperates', 'create')",wellingtonmedeoli
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('create', 'enemies')",wellingtonmedeoli
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('enemies', 'necessary')",wellingtonmedeoli
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('necessary', 'declare')",wellingtonmedeoli
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('declare', 'war')",wellingtonmedeoli
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('war', 'say')",wellingtonmedeoli
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('say', 'think')",wellingtonmedeoli
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('think', 'pastor')",wellingtonmedeoli
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('pastor', 'martim')",wellingtonmedeoli
carolinaspierchocolatier," 'carlacecato', 'carolvereadora' ",,,"('martim', 'luther')",wellingtonmedeoli
carolinaspierchocolatier," 'carolvereadora', 'spierofficial' ",,,"('luther', 'king')",wellingtonmedeoli
carolinaspierchocolatier," 'spierchocolates', 'spierofficial' ",,,"('king', 'junior')",wellingtonmedeoli
carolinaspierchocolatier," 'marco.antonio.costa', 'spierchocolates' ",,,"('junior', 'hotgraphy')",wellingtonmedeoli
carolinaspierchocolatier," 'marco.antonio.costa', 'zoebmartinez' ",,,"('accept', 'become')",marcellefelix
carolinaspierchocolatier," 'jairmessiasbolsonaro', 'zoebmartinez' ",,,"('become', 'venezuela')",marcellefelix
carolinaspierchocolatier," 'jairmessiasbolsonaro', 'michellebolsonaro' ",,,"('venezuela', 'want')",marcellefelix
iracema_mondim," 'jairmessiasbolsonaro', 'michellebolsonaro' ",,,"('want', 'federal')",marcellefelix
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('federal', 'intervention')",marcellefelix
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('intervention', 'lula')",marcellefelix
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('lula', 'army')",marcellefelix
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('army', 'pay')",marcellefelix
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('pay', 'protest')",marcellefelix
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('via', 'marxism')",esquerdasinistra
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('marxism', 'depression')",esquerdasinistra
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('via', 'marxism')",alexsanderpaulista
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('marxism', 'depression')",alexsanderpaulista
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('super', 'oficial')",valentinirodrigo
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('oficial', 'supporting')",valentinirodrigo
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('supporting', 'civil')",valentinirodrigo
canal_censura," 'Carlazambelli', 'realpfigueiredo' ",,,"('civil', 'resistance')",valentinirodrigo
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('resistance', 'front')",valentinirodrigo
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('front', 'itaja')",valentinirodrigo
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('lets', 'go')",gui_barros_de_castro
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('go', 'street')",gui_barros_de_castro
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('street', 'lula')",gui_barros_de_castro
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('teach', 'child')",bluefarm.agro
apriorilifestyle," 'exercito_oficial', 'jornalbsm' ",,,"('child', 'accept')",bluefarm.agro
apriorilifestyle," 'exercito_oficial', 'jornalbsm' ",,,"('accept', 'defeatbut')",bluefarm.agro
soudedireira," 'cbst', 'nbcnews' ",,,"('defeatbut', 'dispute')",bluefarm.agro
soudedireira," 'cbsnews', 'cbst' ",,,"('dispute', 'fairotherwise')",bluefarm.agro
soudedireira," 'abc7ny', 'cbsnews' ",,,"('fairotherwise', 'teach')",bluefarm.agro
soudedireira," 'abc7ny', 'abcnews' ",,,"('teach', 'fight')",bluefarm.agro
soudedireira," 'abcnews', 'foxtv' ",,,"('fight', 'justice')",bluefarm.agro
soudedireira," 'foxn', 'foxtv' ",,,"('press', 'urgent')",brasil_eliberdade
soudedireira," 'foxn', 'nytimes' ",,,"('urgent', 'groups')",brasil_eliberdade
soudedireira," 'bbclondon', 'nytimes' ",,,"('groups', 'continuation')",brasil_eliberdade
soudedireira," 'bbclondon', 'mindefesa' ",,,"('continuation', 'demonstrations')",brasil_eliberdade
soudedireira," 'exercito_oficial', 'mindefesa' ",,,"('demonstrations', 'front')",brasil_eliberdade
soudedireira," 'exercito_oficial', 'fab_oficial' ",,,"('front', 'army')",brasil_eliberdade
soudedireira," 'AeronÃ¡utica', 'fab_oficial' ",,,"('army', 'barracks')",brasil_eliberdade
soudedireira," 'AeronÃ¡utica', 'marinhaoficial' ",,,"('barracks', 'war')",brasil_eliberdade
apriorilifestyle," 'exercito_oficial', 'terrabrasilnoticias' ",,,"('war', 'shots')",brasil_eliberdade
veritasleonis," 'let.repost', 'nelsonbarbudo' ",,,"('shots', 'fifth')",brasil_eliberdade
veritasleonis," 'let.repost', 'mariacaridad.graulopez' ",,,"('fifth', 'day')",brasil_eliberdade
veritasleonis," 'bolsomoto', 'let.repost' ",,,"('day', 'home')",brasil_eliberdade
suzanecarvalhopiloto," 'exercito_oficial', 'nbcnews' ",,,"('home', 'h')",brasil_eliberdade
suzanecarvalhopiloto," 'cbstv', 'nbcnews' ",,,"('h', 'concentrate')",brasil_eliberdade
suzanecarvalhopiloto," 'cbsnews', 'cbstv' ",,,"('concentrate', 'h')",brasil_eliberdade
suzanecarvalhopiloto," 'abc7ny', 'cbsnews' ",,,"('h', 'h')",brasil_eliberdade
suzanecarvalhopiloto," 'abc7ny', 'foxtv' ",,,"('h', 'friday')",brasil_eliberdade
suzanecarvalhopiloto," 'foxtv', 'nytimes' ",,,"('friday', 'home')",brasil_eliberdade
suzanecarvalhopiloto," 'bbclondon', 'nytimes' ",,,"('home', 'h')",brasil_eliberdade
paulla_sillvaa," 'cbstv', 'nbcnews' ",,,"('h', 'concentrate')",brasil_eliberdade
paulla_sillvaa," 'cbsnews', 'cbstv' ",,,"('concentrate', 'h')",brasil_eliberdade
paulla_sillvaa," 'abc7ny', 'cbsnews' ",,,"('h', 'h')",brasil_eliberdade
paulla_sillvaa," 'abc7ny', 'foxtv' ",,,"('h', 'saturday')",brasil_eliberdade
paulla_sillvaa," 'foxtv', 'nytimes' ",,,"('saturday', 'day')",brasil_eliberdade
paulla_sillvaa," 'bbclondon', 'nytimes' ",,,"('day', 'concentrate')",brasil_eliberdade
alanbetelli," 'cnnbrasil', 'exercito_oficial' ",,,"('concentrate', 'h')",brasil_eliberdade
alanbetelli," 'exercito_oficial', 'forcaaerea_repost' ",,,"('h', 'h')",brasil_eliberdade
alanbetelli," 'forcaaerea_repost', 'marinhaoficial' ",,,"('h', 'sunday')",brasil_eliberdade
alanbetelli," 'cnn', 'marinhaoficial' ",,,"('sunday', 'day')",brasil_eliberdade
alanbetelli," 'abcnews', 'cnn' ",,,"('day', 'concentrate')",brasil_eliberdade
alanbetelli," 'abcnews', 'bbcbrasil' ",,,"('concentrate', 'h')",brasil_eliberdade
alanbetelli," 'bbcbrasil', 'bbcnews' ",,,"('h', 'monday')",brasil_eliberdade
haras.betelli," 'cnnbrasil', 'exercito_oficial' ",,,"('monday', 'home')",brasil_eliberdade
haras.betelli," 'exercito_oficial', 'forcaaerea_repost' ",,,"('home', 'h')",brasil_eliberdade
haras.betelli," 'forcaaerea_repost', 'marinhaoficial' ",,,"('h', 'concentrate')",brasil_eliberdade
haras.betelli," 'cnn', 'marinhaoficial' ",,,"('concentrate', 'h')",brasil_eliberdade
haras.betelli," 'abcnews', 'cnn' ",,,"('h', 'h')",brasil_eliberdade
haras.betelli," 'abcnews', 'bbcbrasil' ",,,"('h', 'military')",brasil_eliberdade
haras.betelli," 'bbcbrasil', 'bbcmundo' ",,,"('military', 'assume')",brasil_eliberdade
alanbetelli," 'cnnbrasil', 'exercito_oficial' ",,,"('assume', 'note')",brasil_eliberdade
alanbetelli," 'exercito_oficial', 'forcaaerea_repost' ",,,"('note', 'take')",brasil_eliberdade
alanbetelli," 'forcaaerea_repost', 'marinhaoficial' ",,,"('take', 'tents')",brasil_eliberdade
alanbetelli," 'cnn', 'marinhaoficial' ",,,"('tents', 'water')",brasil_eliberdade
alanbetelli," 'abcnews', 'cnn' ",,,"('water', 'food')",brasil_eliberdade
alanbetelli," 'abcnews', 'bbcbrasil' ",,,"('sos', 'armed')",geovaniandradeee
alanbetelli," 'bbcbrasil', 'bbcnews' ",,,"('armed', 'forces')",geovaniandradeee
gecasarottopaier," 'exercito_oficial', 'jairmessiasbolsonaro' ",,,"('forces', 'save')",geovaniandradeee
gecasarottopaier," 'jairmessiasbolsonaro', 'nytimes' ",,,"('save', 'brazilian')",geovaniandradeee
gecasarottopaier," 'nytimes', 'washingtonpost' ",,,"('brazilian', 'nation')",geovaniandradeee
gecasarottopaier," 'thetimes', 'washingtonpost' ",,,"('follow', 'direitabr')",conservadora.direita.br
gecasarottopaier," 'guardian', 'thetimes' ",,,"('direitabr', 'need')",conservadora.direita.br
gecasarottopaier," 'el_pais', 'guardian' ",,,"('need', 'support')",conservadora.direita.br
gecasarottopaier," 'el_pais', 'lemondefr' ",,,"('support', 'mission')",conservadora.direita.br
gecasarottopaier," 'exercito_oficial', 'jairmessiasbolsonaro' ",,,"('mission', 'improve')",conservadora.direita.br
gecasarottopaier," 'jairmessiasbolsonaro', 'nytimes' ",,,"('improve', 'brazil')",conservadora.direita.br
gecasarottopaier," 'nytimes', 'washingtonpost' ",,,"('brazil', 'kindings')",conservadora.direita.br
gecasarottopaier," 'thetimes', 'washingtonpost' ",,,"('kindings', 'way')",conservadora.direita.br
gecasarottopaier," 'guardian', 'thetimes' ",,,"('way', 'work')",conservadora.direita.br
gecasarottopaier," 'el_pais', 'guardian' ",,,"('work', 'dedication')",conservadora.direita.br
gecasarottopaier," 'el_pais', 'lemondefr' ",,,"('dedication', 'time')",conservadora.direita.br
gecasarottopaier," 'lemondefr', 'rede.globo.tv' ",,,"('time', 'take')",conservadora.direita.br
claudioromualdodecarvalho," 'exercito_oficial', 'ritabrito46' ",,,"('take', 'dear')",conservadora.direita.br
jofariasqueiroz," 'rede.globo.tv', 'sbtnews' ",,,"('dear', 'followers')",conservadora.direita.br
jofariasqueiroz," 'globonews', 'sbtnews' ",,,"('followers', 'taking')",conservadora.direita.br
jofariasqueiroz," 'bandjornalismo', 'globonews' ",,,"('taking', 'warm')",conservadora.direita.br
jofariasqueiroz," 'bandjornalismo', 'jovempannews' ",,,"('warm', 'updated')",conservadora.direita.br
ninjapatriota," 'cbstv', 'nbcnews' ",,,"('updated', 'information')",conservadora.direita.br
ninjapatriota," 'cbsnews', 'cbstv' ",,,"('information', 'brazil')",conservadora.direita.br
ninjapatriota," 'abc7ny', 'cbsnews' ",,,"('brazil', 'god')",conservadora.direita.br
ninjapatriota," 'abc7ny', 'foxtv' ",,,"('god', 'ervida')",conservadora.direita.br
ninjapatriota," 'foxtv', 'nytimes' ",,,"('ballot', 'boxes')",acordabrasil__
ninjapatriota," 'bbclondon', 'nytimes' ",,,"('boxes', 'votes')",acordabrasil__
transformesua.mente," 'exercito_oficial', 'stjnoticias' ",,,"('votes', 'lula')",acordabrasil__
preusspatriciavivian," 'cristaoscombrasil', 'nd1d0.' ",,,"('lula', 'stories')",acordabrasil__
christiano_pires_de_campos," 'cbstv', 'nbcnews' ",,,"('stories', 'spreadsheet')",acordabrasil__
christiano_pires_de_campos," 'abc7ny', 'cbstv' ",,,"('spreadsheet', 'link')",acordabrasil__
christiano_pires_de_campos," 'abc7ny', 'abcnews' ",,,"('link', 'mark')",acordabrasil__
christiano_pires_de_campos," 'abcnews', 'foxtv' ",,,"('mark', 'friends')",acordabrasil__
christiano_pires_de_campos," 'foxnews', 'foxtv' ",,,"('friends', 'siga')",acordabrasil__
christiano_pires_de_campos," 'foxnews', 'nytimes' ",,,"('siga', 'street')",acordabrasil__
christiano_pires_de_campos," 'bbclondon', 'nytimes' ",,,"('street', 'want')",acordabrasil__
christiano_pires_de_campos," 'bbclondon', 'euronews' ",,,"('bring', 'truths')",conservadora.direita.br
christiano_pires_de_campos," 'euronews', 'mindefesa' ",,,"('truths', 'brazil')",conservadora.direita.br
christiano_pires_de_campos," 'exercito_oficial', 'mindefesa' ",,,"('brazil', 'god')",conservadora.direita.br
christiano_pires_de_campos," 'exercito_oficial', 'fab_oficial' ",,,"('god', 'share')",conservadora.direita.br
lincoln.matholli," 'monicacarvalhooficial', 'myllachristieui' ",,,"('share', 'mark')",conservadora.direita.br
lincoln.matholli," 'luizatomeofic', 'monicacarvalhooficial' ",,,"('mark', 'friends')",conservadora.direita.br
lincoln.matholli," 'luizatomeofic', 'reginaduarte' ",,,"('friends', 'instagram')",conservadora.direita.br
lincoln.matholli," 'kiscassia', 'reginaduarte' ",,,"('instagram', 'facebook')",conservadora.direita.br
lincoln.matholli," 'bellafalconi', 'kiscassia' ",,,"('facebook', 'show')",conservadora.direita.br
lincoln.matholli," 'bellafalconi', 'karinabacchi' ",,,"('show', 'posts')",conservadora.direita.br
lincoln.matholli," 'karinabacchi', 'victorscenes' ",,,"('posts', 'story')",conservadora.direita.br
lincoln.matholli," 'eumalvinosalvador', 'victorscenes' ",,,"('story', 'people')",conservadora.direita.br
well.cruz.nery22," 'cnnportugal', 'nbcnews' ",,,"('people', 'like')",conservadora.direita.br
analucia.bbrandao," 'exercito_oficial', 'oficialluizlima' ",,,"('like', 'follow')",conservadora.direita.br
gecasarottopaier," 'exercito_oficial', 'jairmessiasbolsonaro' ",,,"('follow', 'follow')",conservadora.direita.br
gecasarottopaier," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('follow', 'follow')",conservadora.direita.br
gecasarottopaier," 'flaviobolsonaro', 'nytimes' ",,,"('follow', 'ervida')",conservadora.direita.br
gecasarottopaier," 'nytimes', 'washingtonpost' ",,,"('share', 'manausam')",rotadireitaam
gecasarottopaier," 'thetimes', 'washingtonpost' ",,,"('manausam', 'luladro')",rotadireitaam
gecasarottopaier," 'guardian', 'thetimes' ",,,"('lets', 'go')",fcopereirapxoficial
gecasarottopaier," 'el_pais', 'guardian' ",,,"('go', 'people')",fcopereirapxoficial
gecasarottopaier," 'el_pais', 'lemondefr' ",,,"('people', 'lets')",fcopereirapxoficial
lilianersouza," 'cbstv', 'nbcnews' ",,,"('lets', 'fight')",fcopereirapxoficial
lilianersouza," 'cbsnews', 'cbstv' ",,,"('fight', 'fraud')",fcopereirapxoficial
lilianersouza," 'abc7ny', 'cbsnews' ",,,"('fraud', 'elections')",fcopereirapxoficial
lilianersouza," 'abc7ny', 'fox.tvlatin' ",,,"('elections', 'say')",fcopereirapxoficial
lilianersouza," 'fox.tvlatin', 'nytimes' ",,,"('say', 'corrupt')",fcopereirapxoficial
lilianersouza," 'bbclondon', 'nytimes' ",,,"('corrupt', 'system')",fcopereirapxoficial
direitacrz," '5bil_exercito', 'exercito_oficial' ",,,"('system', 'fraud')",fcopereirapxoficial
dra.jeniffer.neitzel," 'exercito_oficial', 'jairmessiasbolsonaro' ",,,"('fraud', 'yes')",fcopereirapxoficial
dra.jeniffer.neitzel," 'bolsonarosp', 'exercito_oficial' ",,,"('yes', 'wake')",fcopereirapxoficial
dra.jeniffer.neitzel," 'bolsonarosp', 'michellebolsonaro' ",,,"('wake', 'brazil')",fcopereirapxoficial
brasilnaveia_," 'jairmessiasbolsonaro', 'michellebolsonaro' ",,,"('brazil', 'ebrasil')",fcopereirapxoficial
pessoasrelevantess," '44usimports', 'ronaldo.girao' ",,,"('ebrasil', 'fotheusofogealuta')",fcopereirapxoficial
pessoasrelevantess," '44usimports', 'naturalpresente' ",,,"('civil', 'resistance')",bolsonaristaate2026
fisioterapeutafernandasouza," 'anafonseca02', 'susanamariasil' ",,,"('resistance', 'baby')",bolsonaristaate2026
fisioterapeutafernandasouza," 'celabezerra', 'susanamariasil' ",,,"('baby', 'lamers')",bolsonaristaate2026
peecombolsonaro," 'jairmessiasbolsonaro', 'peecombolsonaro' ",,,"('lamers', 'elections')",bolsonaristaate2026
paulo.cesarcarvalho," 'carla.zambelli', 'jairmessiasbolsonaro' ",,,"('elections', 'elections')",bolsonaristaate2026
paulo.cesarcarvalho," 'bolsonarosp', 'jairmessiasbolsonaro' ",,,"('civil', 'resistance')",solangebolsonaro26
paulo.cesarcarvalho," 'bolsonarosp', 'carteiroreaca' ",,,"('resistance', 'baby')",solangebolsonaro26
paulo.cesarcarvalho," 'capitaoderrite', 'carteiroreaca' ",,,"('baby', 'lamers')",solangebolsonaro26
paulo.cesarcarvalho," 'capitaoderrite', 'novadireitasp' ",,,"('lamers', 'elections')",solangebolsonaro26
paulo.cesarcarvalho," 'mulherescombolsonaro', 'novadireitasp' ",,,"('elections', 'elections')",solangebolsonaro26
paulo.cesarcarvalho," 'carla.zambelli', 'jairmessiasbolsonaro' ",,,"('civil', 'resistance')",nildabolsonaro
paulo.cesarcarvalho," 'bolsonarosp', 'jairmessiasbolsonaro' ",,,"('resistance', 'baby')",nildabolsonaro
paulo.cesarcarvalho," 'bolsonarosp', 'carteiroreaca' ",,,"('baby', 'lamers')",nildabolsonaro
paulo.cesarcarvalho," 'capitaoderrite', 'carteiroreaca' ",,,"('lamers', 'elections')",nildabolsonaro
paulo.cesarcarvalho," 'capitaoderrite', 'novadireitasp' ",,,"('elections', 'elections')",nildabolsonaro
paulo.cesarcarvalho," 'mulherescombolsonaro', 'novadireitasp' ",,,"('intervention', 'lula')",aguiasquegovernam
paulo.cesarcarvalho," 'carla.zambelli', 'jairmessiasbolsonaro' ",,,"('seeing', 'goes')",suzannearr
paulo.cesarcarvalho," 'bolsonarosp', 'jairmessiasbolsonaro' ",,,"('goes', 'right')",suzannearr
paulo.cesarcarvalho," 'bolsonarosp', 'carteiroreaca' ",,,"('right', 'constitution')",suzannearr
paulo.cesarcarvalho," 'capitaoderrite', 'carteiroreaca' ",,,"('constitution', 'guarantees')",suzannearr
paulo.cesarcarvalho," 'capitaoderrite', 'novadireitasp' ",,,"('guarantees', 'right')",suzannearr
paulo.cesarcarvalho," 'mulherescombolsonaro', 'novadireitasp' ",,,"('right', 'manifestation')",suzannearr
paulo.cesarcarvalho," 'carla.zambelli', 'jairmessiasbolsonaro' ",,,"('civil', 'resistance')",nasruascombolsonaro
paulo.cesarcarvalho," 'bolsonarosp', 'jairmessiasbolsonaro' ",,,"('resistance', 'baby')",nasruascombolsonaro
paulo.cesarcarvalho," 'bolsonarosp', 'carteiroreaca' ",,,"('baby', 'lamers')",nasruascombolsonaro
paulo.cesarcarvalho," 'capitaoderrite', 'carteiroreaca' ",,,"('lamers', 'elections')",nasruascombolsonaro
paulo.cesarcarvalho," 'capitaoderrite', 'novadireitasp' ",,,"('elections', 'elections')",nasruascombolsonaro
paulo.cesarcarvalho," 'mulherescombolsonaro', 'novadireitasp' ",,,"('lets', 'go')",fcopereirapxoficial
paulo.cesarcarvalho," 'carla.zambelli', 'jairmessiasbolsonaro' ",,,"('go', 'lets')",fcopereirapxoficial
paulo.cesarcarvalho," 'bolsonarosp', 'jairmessiasbolsonaro' ",,,"('lets', 'fight')",fcopereirapxoficial
paulo.cesarcarvalho," 'bolsonarosp', 'carteiroreaca' ",,,"('fight', 'fraud')",fcopereirapxoficial
paulo.cesarcarvalho," 'capitaoderrite', 'carteiroreaca' ",,,"('fraud', 'elections')",fcopereirapxoficial
paulo.cesarcarvalho," 'capitaoderrite', 'novadireitasp' ",,,"('elections', 'say')",fcopereirapxoficial
paulo.cesarcarvalho," 'mulherescombolsonaro', 'novadireitasp' ",,,"('say', 'corrupt')",fcopereirapxoficial
sou_direita_taboao," 'carla.zambelli', 'jairmessiasbolsonaro' ",,,"('corrupt', 'system')",fcopereirapxoficial
sou_direita_taboao," 'bolsonarosp', 'jairmessiasbolsonaro' ",,,"('system', 'fraud')",fcopereirapxoficial
sou_direita_taboao," 'bolsonarosp', 'carteiroreaca' ",,,"('fraud', 'yes')",fcopereirapxoficial
sou_direita_taboao," 'capitaoderrite', 'carteiroreaca' ",,,"('yes', 'wake')",fcopereirapxoficial
sou_direita_taboao," 'capitaoderrite', 'novadireitasp' ",,,"('wake', 'brazil')",fcopereirapxoficial
sou_direita_taboao," 'mulherescombolsonaro', 'novadireitasp' ",,,"('brazil', 'ebrasil')",fcopereirapxoficial
sou_direita_taboao," 'carla.zambelli', 'jairmessiasbolsonaro' ",,,"('ebrasil', 'fotheusofogealuta')",fcopereirapxoficial
sou_direita_taboao," 'bolsonarosp', 'jairmessiasbolsonaro' ",,,"('civil', 'resistance')",patriotabrasil26
sou_direita_taboao," 'bolsonarosp', 'carteiroreaca' ",,,"('resistance', 'baby')",patriotabrasil26
sou_direita_taboao," 'capitaoderrite', 'carteiroreaca' ",,,"('baby', 'lamers')",patriotabrasil26
sou_direita_taboao," 'capitaoderrite', 'novadireitasp' ",,,"('lamers', 'elections')",patriotabrasil26
sou_direita_taboao," 'mulherescombolsonaro', 'novadireitasp' ",,,"('elections', 'elections')",patriotabrasil26
direitacampinagrande2022," 'campinagrandecombolsonaro', 'o' ",,,"('want', 'intervention')",bluefarm.agro
gislaineorsi," 'day_brunno', 'orsi5671' ",,,"('intervention', 'beat')",bluefarm.agro
helohgl16," 'use.repost', 'vonnserran_oficial' ",,,"('beat', 'thief')",bluefarm.agro
